"scenario","run_id","nobs","npredictors","run_number","Model","s0","s1","lambda","gamma","converged","iterations","TP","FP","TN","FN","TP_indep","FP_indep","TN_indep","FN_indep","TP_strong","FP_strong","TN_strong","FN_strong","TP_weak","FP_weak","TN_weak","FN_weak"
"scenarioB","p25_scenarioB_run1",200,25,1,"SSL",0.00442554279613734,0.2,NA,NA,TRUE,5,5,2,18,0,1,2,10,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run1",200,25,1,"LASSO",NA,NA,0.0609045295071537,NA,TRUE,NA,4,2,18,1,1,2,10,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run2",200,25,2,"SSL",0.000441336279129696,1,NA,NA,TRUE,5,5,16,4,0,1,11,1,0,2,2,2,0,2,3,1,0
"scenarioB","p25_scenarioB_run2",200,25,2,"LASSO",NA,NA,0.0473900275831467,NA,TRUE,NA,5,4,16,0,1,0,12,0,2,2,2,0,2,2,2,0
"scenarioB","p25_scenarioB_run3",200,25,3,"SSL",0.0131455377967901,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run3",200,25,3,"LASSO",NA,NA,0.0651236355278282,NA,TRUE,NA,4,3,17,1,1,2,10,0,1,1,3,1,2,0,4,0
"scenarioB","p25_scenarioB_run4",200,25,4,"SSL",0.000434218656766025,1.4,NA,NA,TRUE,5,5,17,3,0,1,9,3,0,2,4,0,0,2,4,0,0
"scenarioB","p25_scenarioB_run4",200,25,4,"LASSO",NA,NA,0.0500142241570855,NA,TRUE,NA,5,1,19,0,1,1,11,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run5",200,25,5,"SSL",0.0184229407750048,0.2,NA,NA,TRUE,9,3,1,19,2,1,1,11,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run5",200,25,5,"LASSO",NA,NA,0.08600009214818,NA,TRUE,NA,3,2,18,2,1,1,11,0,0,0,4,2,2,1,3,0
"scenarioB","p25_scenarioB_run6",200,25,6,"SSL",0.000441336279129696,0.2,NA,NA,TRUE,5,5,7,13,0,1,4,8,0,2,0,4,0,2,3,1,0
"scenarioB","p25_scenarioB_run6",200,25,6,"LASSO",NA,NA,0.0433105368755726,NA,TRUE,NA,5,7,13,0,1,4,8,0,2,0,4,0,2,3,1,0
"scenarioB","p25_scenarioB_run7",200,25,7,"SSL",0.0172988351759105,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run7",200,25,7,"LASSO",NA,NA,0.0859234225013421,NA,TRUE,NA,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run8",200,25,8,"SSL",0.00791914060198397,0.2,NA,NA,TRUE,5,5,1,19,0,1,1,11,0,2,0,4,0,2,0,4,0
